model_name;user_id;hotkey_count;technique_id;log_likelyhood;n_params;N;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
RW;7;507;1;-1542.1944546023826;2;715;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-1043.6561649122325;2;717;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-1477.670350073593;2;720;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1108.9174976223883;2;720;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;11;582;2;-1110.0539847620053;2;720;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;12;0;0;-618.1126447119567;2;720;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-1484.1624777575926;2;720;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;14;352;2;-811.4161112979817;2;720;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;0;0;0;-558.6830900131181;2;720;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1064.63624085289;2;720;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-1033.3903088655713;2;711;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-551.1089410484514;2;720;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1329.73145461623;2;720;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-1132.7206217450698;2;720;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-551.1089410484514;2;720;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;7;507;1;-1630.3850975718926;2;715;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-1116.273645174172;2;717;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-1553.9262639703716;2;720;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1123.7146027772908;2;720;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;11;582;2;-1193.3138134624091;2;720;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
