model_name;user_id;hotkey_count;technique_id;log_likelyhood;n_params;N;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
CK;2;479;2;-3462.1429331028075;2;711;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-13.904477302580386;2;720;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-3721.6307323872525;2;720;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-3916.679064782495;2;720;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-13.904477302580386;2;720;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-5171.4426896104505;2;715;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-3844.5152481381547;2;717;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-4789.225062645051;2;720;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-2740.598104582745;2;720;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-4205.218072960291;2;720;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-13.904477302580386;2;720;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-4825.292438667274;2;720;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-2546.1187759379923;2;720;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-48.129793514756464;2;720;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-2698.3605836277543;2;720;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-3804.963573587394;2;711;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-8.455679890309977;2;720;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-4086.954560483358;2;720;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-4304.910360804337;2;720;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-8.455679890309977;2;720;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-5681.795208186855;2;715;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-4225.544481705808;2;717;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-5261.308323766967;2;720;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-3007.8186698984287;2;720;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-4622.303269799892;2;720;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-8.455679890309977;2;720;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-5300.9824373914125;2;720;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-2797.2940430753756;2;720;0.0;5.5;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-48.417688974461804;2;720;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-2939.5785509159377;2;720;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-4148.844996829985;2;711;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-5.136837747794105;2;720;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-4454.408343849326;2;720;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-4694.215867214036;2;720;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-5.136837747794105;2;720;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-6194.262890677032;2;715;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-4607.643449784679;2;717;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-5735.521540158709;2;720;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-3277.169190483949;2;720;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-5040.462677027372;2;720;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-5.136837747794105;2;720;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-5778.802391385377;2;720;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-3049.5435206006155;2;720;0.0;6.0;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-50.00626857565331;2;720;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-3182.097202345577;2;720;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-4493.372013729532;2;711;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-3.118679746761324;2;720;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-4823.16281135674;2;720;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-5084.175139352301;2;720;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-3.118679746761324;2;720;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-6708.02222477989;2;715;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-4990.393459568263;2;717;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-6211.035440691894;2;720;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-3547.8203952109225;2;720;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-5459.275849983416;2;720;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-3.118679746761324;2;720;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-6257.923029520784;2;720;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-3302.4467638544493;2;720;0.0;6.5;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-52.38701837259681;2;720;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-3425.408023970982;2;720;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-4838.291414443086;2;711;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-1.8926919414810375;2;720;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-5192.709449059974;2;720;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-5474.53176218829;2;720;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-1.8926919414810375;2;720;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-7222.568227896775;2;715;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-5373.5391644216625;2;717;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-6687.341511420991;2;720;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-3819.2637701336657;2;720;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
